book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation;image;
5968470;Неразлучные;Симона де Бовуар;2021;16+;160;Современная зарубежная проза;https://book24.ru/product/nerazluchnye-5968470/;Сильви было всего девять, когда она впервые увидела Андре – миниатюрную темноволосую девочку с блестящими глазами, впалыми щеками и чернильным пятном на подбородке. С первой же минуты Андре поразила Сильви в самое сердце – своей удивительно свободной манерой держаться, независимостью и прямотой. Ученицы католического Коллежа Аделаиды, они соревнуются в прилежании, передразнивают учителей и разговаривают обо всем на свете – и вскоре получают прозвище "неразлучные". Девочки растут, и на пути во взрослую жизнь их ждут первая любовь и первая дружба, первые радости и первые разочарования. Действие романа происходит в Париже, на фоне Первой мировой войны и послевоенных лет, атмосфера которых передана удивительно тонко и лирично.;https://cdn.book24.ru/v2/ASE000000000852763/COVER/cover13d__w410.jpg;
5928915;Европа во мне. Как не потерять себя в новых странах, условиях и ролях;Екатерина Оаро;2021;16+;256;Современная политика;https://book24.ru/product/evropa-vo-mne-kak-ne-poteryat-sebya-v-novykh-stranakh-usloviyakh-i-rolyakh-5928915/;В новой книге Екатерина Оаро, писательница и автор бестселлера "Держись и пиши", рассказывает о своём опыте переезда и жизни в европейских странах, где случается много смешных и грустных историй. Книга "Европа во мне" – отчасти об опыте эмиграции, но всегда – о доме, который мы строим сами внутри и снаружи. Об адаптивности в современном быстро меняющемся мире. О том, что важно узнавать себя, крепко стоять на своем и в то же время быть готовой измениться в любую минуту. Сейчас у нас осталось меньше возможностей путешествовать, но мы все равно продолжаем оказываться в новых социальных ситуациях. Читая эту книгу, вы будете попадать то во Францию, то в Италию, то в Беларусь, то снова во Францию, то в СССР – но главное: внутрь себя. Ведь мы встречаемся с Другим не только переезжая в новую страну, но и меняя офис, улицу, должность или семейный статус.;//ndc.book24.ru/resize/410x590/iblock/d1c/d1ca42f5335cac3838dcf014535ecf1c/1da59de2e162c7b07850ca6c3da5ca78.jpg;
6064717;Женщина. Где у нее кнопка;Вис Виталис;2022;18+;272;Психология пола;https://book24.ru/product/zhenshchina-gde-u-nee-knopka-6064717/;;https://cdn.book24.ru/v2/ASE000000000863876/COVER/cover13d__w410.jpg;
6067106;Больше, чем 5 соток. Как на маленьком участке получить максимум урожая;Марина Рыкалина;2022;12+;272;Справочники садовода и огородника;https://book24.ru/product/bolshe-chem-5-sotok-kak-na-malenkom-uchastke-poluchit-maksimum-urozhaya-6067106/;Небольшой участок может стать большой возможностью для выращивания урожая без применения ударных доз минеральных удобрений, химических фунгицидов и инсектицидов! Авторские советы ведущей телеканала "Усадьба" Марины Рыкалиной помогут не только насладиться собственным урожаем, выращенном даже в неблагоприятном климате, но и оптимально спланировать свой огород для размещения всех популярных культур.;https://cdn.book24.ru/v2/ITD000000001173929/COVER/cover13d__w410.jpg;
5993652;Артефакты;Мария Свешникова;2021;18+;480;Современная русская проза;https://book24.ru/product/artefakty-5993652/;;https://cdn.book24.ru/v2/ASE000000000859609/COVER/cover13d__w410.jpg;
6059771;Помещик. Книга первая. Сирота;Михаил Ланцов;2022;16+;352;Боевая фантастика;https://book24.ru/product/pomeshchik-kniga-pervaya-sirota-6059771/;;https://cdn.book24.ru/v2/ITD000000001247335/COVER/cover13d__w410.jpg;
6025276;Королевы анимации Disney. Кто и как придумывал всем известных принцесс: от Белоснежки до Мулан;Наталия Холт;2021;16+;496;Биографии. Мемуары;https://book24.ru/product/korolevy-animatsii-disney-kto-i-kak-pridumyval-vsem-izvestnykh-printsess-ot-belosnezhki-do-mulan-6025276/;"Наталия Холт мастерски показывает, что в основе привычных мультпликационных фигур из яркие цветов и изогнутых линий лежат женский ум, настоящие сила и страсть. Чудесная книга",   - Мэри Гэбриэл, автор книги "Женщины девятой улицы". На 86-й церемонии вручения премии "Оскар" сценаристка Дженифер Ли шла по красной дорожке со своей сестрой Эми. Это был момент триумфа всех женщин, много лет трудившихся в анимации, но остававшихся в тени своих коллег-мужчин. Это был год, когда впервые режиссерка студии Disney получила приз Американской киноакадемии и впервые созданный ею фильм заработал больше 2 млрд долларов в мировом прокате. "Холодное сердце" показало, какими могут быть истории о современных принцессах. Но трансформации в мультипликации начались ещё задолго до этого.  Эта книга проведет вас по закулисью величайшей анимационной студии и покажет, как на самом деле создавались великие шедевры Disney: "Золушка", "Спящая Красавица", "Мулан", "Король лев", "Бэмби" и другие. От Золушки до Эльзы из "Холодного сердца" стоит кропотливая работа женщин, чьи имена под час не попадали даже в титры.  Эта книга – дань уважения и попытка заполнить пробел в истории сценаристок и художниц, придумавших современный мир анимации.;https://cdn.book24.ru/v2/ITD000000001165306/COVER/cover13d__w410.jpg;
5930750;Избранные речи;Демосфен;2021;16+;640;Журналистские расследования;https://book24.ru/product/izbrannye-rechi-5930750/;;https://cdn.book24.ru/v2/ASE000000000855932/COVER/cover13d__w410.jpg;
5933658;Пешком по Москве 2;Михаил Жебрак;2021;12+;256;Путеводители;https://book24.ru/product/peshkom-po-moskve-2-5933658/;;https://cdn.book24.ru/v2/ASE000000000852189/COVER/cover13d__w410.jpg;
6064978;Замок на двоих;Анастасия Маркова;2022;16+;320;Любовное фэнтези;https://book24.ru/product/zamok-na-dvoikh-6064978/;;https://cdn.book24.ru/v2/ASE000000000862556/COVER/cover13d__w410.jpg;
