book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation
p6026723;Сияние во тьме;Стивен Кинг;2021; 16+ ;320;Зарубежное фэнтези;https://book24.ru/product/siyanie-vo-tme-6026723/;
p6037942;Экспресс Токио-Монтана;Ричард Бротиган;2021; 18+ ;288;Классическая зарубежная литература;https://book24.ru/product/ekspress-tokio-montana-6037942/;
p6018967;Beastars. Выдающиеся звери. Том 2;Пару Итагаки;2021; 18+ ;400;Манга;https://book24.ru/product/beastars-vydayushchiesya-zveri-tom-2-6018967/;
p5963585;Мухи творчества;Елена Логунова;2021; 16+ ;320;Иронические детективы;https://book24.ru/product/mukhi-tvorchestva-5963585/;Стоило супругу Алисы уехать, как неприятности сразу зашли во двор! И не только зашли, но и утащили голову одного из деревянных истуканов, которых муж-художник готовил для выставки. Кому понадобилась голова, которую и поднять-то трудно? Алиса, ничего не говоря мужу, вместе со своей подругой Лизкой решает найти похитителя и украденную часть экспоната до выставки. Но тут пропадает голова у второго, а затем и у третьего истукана! Разозленная Алиса обнаруживает, что странные вещи похищают в деревне не у нее одной…
p6042400;Легкие десерты и выпечка. Быстро, вкусно, стильно;Михаил Мартынов;2021; 12+ ;144;Выпечка и десерты;https://book24.ru/product/legkie-deserty-i-vypechka-bystro-vkusno-stilno-6042400/;
p5967290;Про папу;Максим Цхай;2021; 16+ ;416;Современная русская проза;https://book24.ru/product/pro-papu-5967290/;
p6014417;Война, которая спасла мне жизнь;Кимберли Брубэйкер Брэдли;2021; 12+ ;352;Повести и рассказы;https://book24.ru/product/voyna-kotoraya-spasla-mne-zhizn-1-6014417/;
p6029956;Все правила итальянского языка на ладони;Сергей Матвеев;2021; 12+ ;128;Итальянский язык;https://book24.ru/product/vse-pravila-italyanskogo-yazyka-na-ladoni-6029956/;
p6035550;Коллекционирование монет для начинающих. Пошаговый гид по нумизматике: от понимания исторической ценности до создания уникальной коллекции;Валерия Черепенчук;2021; 12+ ;272;Монеты. Банкноты;https://book24.ru/product/kollektsionirovanie-monet-dlya-nachinayushchikh-poshagovyy-gid-po-numizmatike-ot-ponimaniya-istorich-6035550/;Для тех, кто интересуется историей, мечтает сблизиться с новыми людьми или открыть для себя возможности для бизнеса, - коллекционирование монет станет тем самым хобби, ведь оно охватывает самые разные сферы нашей жизни. Это понятное руководство поможет вам узнать, как начать свое путешествие в мир коллекционирования и открыть для себя новое интересное увлечение. Разбираясь в том, с чего начать поиск монет, по каким критериям их оценивать, как хранить и заботиться о них, и даже о том, как и где их выгодно продавать, вы создадите свою коллекцию, которой сможете гордиться.
p6030128;Косметика глазами химика: одержимые составом;Эльвира Юркевич;2021; 16+ ;256;Косметология;https://book24.ru/product/kosmetika-glazami-khimika-oderzhimye-sostavom-6030128/;Какая женщина не мечтает о красивой коже без изъянов и уверенности в своей привлекательности? Чтобы выглядеть прекрасно в любом возрасте, важно ухаживать за кожей и грамотно подбирать косметику. Эльвира Юркевич, опираясь на научную базу в сфере медицины и косметической химии, сотрудничество с крупными корейскими брендами и опыт создания косметических средств, написала книгу, которая поможет вам правильно ухаживать за кожей и предостережет вас от многих ошибок.
