book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation
p6036740;Полное собрание рассказов;Эрнест Хемингуэй;2021; 12+ ;928;Классическая зарубежная литература;https://book24.ru/product/polnoe-sobranie-rasskazov-6036740/;
p6022272;Сон и Пепел;Алекс Анжело;2021; 16+ ;352;Русское фэнтези;https://book24.ru/product/son-i-pepel-6022272/;
p6028808;Золотая клетка;Камилла Лэкберг;2021; 18+ ;384;Зарубежные детективы;https://book24.ru/product/zolotaya-kletka-6028808/;Фэй отдала мужу всю свою жизнь. Она сделала Яка тем, кем его знают сейчас, – одним из самых успешных бизнесменов Швеции, мультимиллионером, медийной знаменитостью, счастливым отцом… Однако Як забыл о этом. И существование Фэй превратилось в кошмар. Постоянные издевательства и унижения, презрение и измены… Она стала для него никем – жалкой птичкой в золотой клетке. А теперь Як собирается попросту выбросить надоевшую жену на улицу. 	Но он и понятия не имеет, какое темное и страшное прошлое за плечами у Фэй. Теперь пришла пора о нем вспомнить. Что только не сделаешь ради мести за растоптанное сердце…
p6037381;На пути «Тайфуна»;Александр Калмыков;2021; 16+ ;912;Боевая фантастика;https://book24.ru/product/na-puti-tayfuna-6037381/;
p6024803;Один день в Древнем мире. Записки путешественника во времени;Дмитрий Демченко;2021; 12+ ;320;Историческая проза;https://book24.ru/product/odin-den-v-drevnem-mire-zapiski-puteshestvennika-vo-vremeni-6024803/;"Один день в Древнем мире. Записки путешественника во времени" - книга на стыке фантастики и нонфикшна. Вымысел автора заключается только в главном герое Томе и его необычной профессии, а все остальное - факты, подтвержденные достоверными источниками.  Том работает путешественником во времени и ведет дневник, записывая туда свои наблюдения о жизни и быте древних людей. Вместе с Томом вы отправитесь в пещерные времена и узнаете о жизни неандертальцев и кроманьонцев, побываете в Древнем Египте и познакомитесь с бытом древних египтян, перенесетесь на прекрасный остров Крит времён Древней Греции, а оттуда попадете в настоящую Спарту и ощутите на себе повседневную жизнь спартанцев. В самом конце книги Том расскажет вам о буднях легендарной Римской империи.  На страницах книги вы найдёте интересные иллюстрации и qr-коды, перейдя по которым вы попадете на сайт, созданный специально для этой книги. На сайте собраны краткие сведения об эпохах, в которые попадает Том, и источники, подтверждающие все, что написано в книге. Также на сайте вы сможете оставить отзыв о книге и проголосовать за ее продолжение.   Приятного путешествия!
p6037002;У природы нет плохой погоды...;Эльдар Рязанов;2021; 16+ ;256;Современная поэзия;https://book24.ru/product/u-prirody-net-plokhoy-pogody--6037002/;
p6041083;Записки Барри Линдона;Уильям Теккерей;2021; 12+ ;416;Классическая зарубежная литература;https://book24.ru/product/zapiski-barri-lindona-6041083/;
p6043472;Во все тяжкие бизнес-сторителлинга. PR и маркетинг эпохи HBO;Ярослав Катаев;2021; 12+ ;224;PR;https://book24.ru/product/vo-vse-tyazhkie-biznes-storitellinga-pr-i-marketing-epokhi-hbo-6043472/;В современном мире хорошая история решает все. Истории управляют мнением о продуктах, брендах и компаниях. На примере лучших выступлений Джеффа Безоса и легендарных сериалов "Во все тяжкие", "Карточный домик", "Игра престолов", "Молодой папа", автор шаг за шагом деконструирует технику создания захватывающих историй, и рассказывает, как вам применить ее на практике. Вооруженные этой книгой, вы сможете создавать сценарии для выступлений, писать цепляющие рекламные тексты, выделиться на фоне информационного шума и запомниться.
p6037383;Самые красивые места мира, в которые хочется отправиться прямо сейчас;Федосеева А.Д.;2021; 12+ ;248;Путеводители;https://book24.ru/product/samye-krasivye-mesta-mira-v-kotorye-khochetsya-otpravitsya-pryamo-seychas-6037383/;В этой книге собраны самые красивые места мира, от которых захватывает дух. Вы насладитесь восхитительными пейзажами, узнаете множество интересных фактов о разных городах и странах, найдете полезную информацию для того, чтобы отправиться в собственное путешествие, и вдохновитесь на новые свершения!  Мы собрали в этом альбоме только самые лучшие места мира и сформировали разделы: чудеса, созданные человеком, чудеса, созданные природой и самые красивые города. Вы сможете наслаждаться красивыми фотографиями достопримечательностей каждого материка!
p6031842;Королевство плоти и огня;Дженнифер Арментроут;2021; 18+ ;736;Зарубежное фэнтези;https://book24.ru/product/korolevstvo-ploti-i-ognya-6031842/;
p6028595;Виктория и магия сложного процента;Рустем Ишмаков;2021; 12+ ;96;Экономика для детей;https://book24.ru/product/viktoriya-i-magiya-slozhnogo-protsenta-6028595/;Дорогие читатели! Книга, которую вы держите в руках, расскажет о приключениях юной девочки Виктории, в ходе которых она попадёт в волшебную страну и узнает о том, что же такое магия сложного процента и как ею воспользоваться в реальной жизни. Виктории предстоит выбраться с острова Кредиттаун, преодолеть Море терпения, узнать о том, кто живёт в долине инвесторов и как со всем этим связан "Биг Бэнк". Вместе с героями этой волшебной и доброй истории мы узнаем о том: – что такое кредит, вклад и акции; – для чего нужна диверсификация; – что такое сложный процент и как он помогает растить капитал. В книге простым и понятным для детей языком раскрыты основные аспекты финансовой грамотности, которые просто необходимо знать будущему миллионеру!
p6040443;Страна вина;Мо Янь;2021; 16+ ;448;Современная зарубежная проза;https://book24.ru/product/strana-vina-6040443/;
p5987889;Сила в возрасте. Правильная физическая активность для восстановления и сохранения здоровья;Леонид Сак;2021; 12+ ;240;Популярная медицина;https://book24.ru/product/sila-v-vozraste-pravilnaya-fizicheskaya-aktivnost-dlya-vosstanovleniya-i-sokhraneniya-zdorovya-5987889/;С возрастом наше здоровье меняется, мы становимся менее активны и более подвержены различным заболеваниям. Но принимать только лекарства - не всегда выход! Физическая активность может быть отличным нефармакологическим способом восстановления здоровья. В этой книге собраны научные исследования и рекомендации о влиянии силового тренинга на организм. Вы узнаете, как привести давление в норму, снизить риск инсульта, сохранить и улучшить осанку, уменьшить боли в спине и тд. Даже при возрастных изменениях вы можете поддерживать здоровье и значительно улучшить качество жизни!
p5968478;Моя исповедь. Невероятная история рок-легенды из Judas Priest;Роб Хэлфорд;2021; 18+ ;448;Биографии. Мемуары;https://book24.ru/product/moya-ispoved-neveroyatnaya-istoriya-rok-legendy-iz-judas-priest-5968478/;"Я придумал идеальное название для своих мемуаров: „Исповедь“. Как нельзя кстати. Потому что, поверьте мне, этот продажный „священник“ грешил, грешил и снова грешил, но теперь настало время исповедоваться... и может быть, даже получить ваше благословение". Фронтмен легендарной группы Judas Priest Роб Хэлфорд родился в самом сердце промышленной Великобритании, в рабочей семье. Каждое утро его путь в школу проходил через чёрный смог и дым от чугунного завода. "Я всегда говорил, что почувствовал запах и вкус тяжелого металла еще до того, как изобрели эту музыку...", — шутит Хэлфорд с горькой усмешкой.  Его автобиография — это гремучая смесь из оды мощи хэви-метала, непростых жизненных моментов и невозмутимой самоиронии. Это история жизни настоящей рок-звезды, в которой было все: алкоголь, наркотики, приводы в полицию, тайные сексуальные отношения и глубокая личная трагедия; клиника реабилитация, признание в нетрадиционной ориентации, искупление... и обретение настоящей любви. Это признание от всего сердца, которое Хэлфорд решился рассказать всему миру.  Judas Priest — культовая британская хэви-метал-группа. Ее участники выпустили 20 альбомов (и продолжают активно гастролировать по миру), а сам Хэлфоррд бы награжден премией "Грэмми".
p6043114;Рик и Морти против Dungeons & Dragons;Джим Заб;2021; 18+ ;136;Комиксы;https://book24.ru/product/rik-i-morti-protiv-dungeons-dragons-6043114/;
p5990284;Святой сатана;Анатолий Леонов;2021; 16+ ;320;Исторические детективы;https://book24.ru/product/svyatoy-satana-5990284/;
p5707805;Моя безумная история: автобиография бас-гитариста RHCP (Acid for the children);Фли;2021; 18+ ;336;Музыка;https://book24.ru/product/moya-bezumnaya-istoriya-avtobiografiya-bas-gitarista-rhcp-acid-for-the-children-5707805/;"Почти каждый, кто возьмется читать эту книгу, знает меня как Фли. Но до того как я получу это имя, еще очень и очень далеко. А пока я — Майкл Питер Бэлзари — маленький белокурый мальчик из Австралии". В 1983 году еще никому не известная группа сыграла свой первый концерт для 30 человек. Через несколько лет весь мир знал их как Red Hot Chili Peppers. Семь "Грэмми", 80 миллионов проданных копий альбомов — оглушительный успех.  Все мы знаем эту историю и уж точно слышали знаменитую Californication. В этой же книге один из лучших басистов современности рассказывает о том, что было до и что осталось за кадром: переезд в США, развод родителей и сложные отношения в семье, первая любовь, первые песни, первые наркотики. Сумасшедшие поступки, джаз, фанк, прыжки в бассейн с крыши многоэтажек, кражи, знакомство с Энтони Кидисом, школьная дружба с которым перерастёт в создание RHCP. Это путь с грязных улиц Лос-Анджелеса к вершинам музыкальных чартов и армии поклонников по всему миру.  Фли, с одной стороны, показывает нам типичную историю рок-звезды, но делает это так остроумно, легко и поэтично, при этом совершенно не приукрашая реальности, что предстает прекрасным писателем и глубоким философом. Это откровенная история человека, сумевшего направить все разочарование, любовь и одиночество в свое творчество, в создание музыки, вдохновляющей целые поколения.
p6039726;One-Punch Man. Кн. 11;ONE;2021; 16+ ;432;Графические романы;https://book24.ru/product/one-punch-man-kn-11-6039726/;
p6045153;Белые медведи. Научный комикс;Джейсон Виола;2021; 6+ ;128;Комиксы для детей;https://book24.ru/product/belye-medvedi-nauchnyy-komiks-6045153/;
p5993240;Живущий;Старобинец Анна Альфредовна;2021; 16+ ;320;Социальная фантастика;https://book24.ru/product/zhivushchiy-5993240/;
p6031432;Witch Таро. Колода Уэйта. Ведьмовское толкование карт и их глубинный смысл;Мари Уоллес;2021; 16+ ;320;Гадания. Карты Таро;https://book24.ru/product/witch-taro-koloda-ueyta-vedmovskoe-tolkovanie-kart-i-ikh-glubinnyy-smysl-6031432/;В любой женщине есть Сила, которую издревле считали присущей только волшебницам, колдуньям, ведьмам. У кого-то эта Сила проявлена лучше, у кого-то пока дремлет. Но эту силу можно разбудить, развить, сделать своим помощником. Книга Мари Уоллес научит тебя, как сделать это, используя Таро. Ведьмовская трактовка карт Таро глубже обычных трактовок. В книге ты найдешь нигде ранее не опубликованную информацию о каждой карте, узнаешь, как можно использовать Таро для улучшения жизни, научишься избегать неблагоприятных ситуаций и исполнять желания. Мари Уоллес дает расклады, которые ты не найдешь больше нигде. Они основаны на кельтской традиции и усилены друидической магией. Эта книга откроет тебе доступ к мощной колдовской силе.
p6035084;Следовать новым курсом;Б. Беломор;2021; 16+ ;384;Боевая фантастика;https://book24.ru/product/sledovat-novym-kursom-6035084/;
p6044715;Латинский язык без репетитора. Самоучитель латинского языка;Линус Август;2021; 12+ ;320;Другие языки;https://book24.ru/product/latinskiy-yazyk-bez-repetitora-samouchitel-latinskogo-yazyka-6044715/;
p5988026;Пыль грез. Том 2;Стивен Эриксон;2021; 16+ ;624;Темное фэнтези;https://book24.ru/product/pyl-grez-tom-2-5988026/;На войне нет победителей – проигрывают все. Эту жестокую правду можно увидеть в глазах каждого солдата в каждом из миров…  В Летерийской империи, армия малазанцев под командованием адьюнкта Тавор начинает марш в восточные Пустоши. Им снова предстоит кровопролитная борьба с врагом, которого они ранее не видели, а исход ее неизвестен даже пророкам… Так под равнодушными небесами далекой страны началась предпоследняя глава "Малазанской Книги Павших"… Том второй "Пыли грез".
p6031997;В лесах под Вязьмой;Александр Тамоников;2021; 16+ ;320;Военные боевики;https://book24.ru/product/v-lesakh-pod-vyazmoy-6031997/;
p6033877;Ночной ворон;Сара Пэйнтер;2021; 16+ ;320;Зарубежные любовные романы;https://book24.ru/product/nochnoy-voron-6033877/;
p6047882;Наследник из Калькутты;Штильмарк Роберт Александрович;2021; 16+ ;928;Исторические приключения;https://book24.ru/product/naslednik-iz-kalkutty-6047882/;
p6043592;Гражданская авиация Великобритании: От бипланов до «Кометы» и «Конкорда»;Александр Потемкин;2021; 16+ ;208;Воздушный транспорт;https://book24.ru/product/grazhdanskaya-aviatsiya-velikobritanii-ot-biplanov-do-komety-i-konkorda-6043592/;
p5958879;Ошибка богов. Разбудить чувства;Ольга Олие;2021; 16+ ;320;Магические академии;https://book24.ru/product/oshibka-bogov-razbudit-chuvstva-5958879/;Первый курс академии магии закончен. Я потеряла чувства и эмоции, и чтобы их вернуть, необходимо совершить невозможное: отправиться к драконам. Никто в здравом уме туда бы не сунулся, но у меня сложная ситуация. Придется рискнуть. И если они мне не смогут помочь, то останется только смириться с участью робота. Здесь таких нет, значит, я буду первой.
p6033868;Сладко-горькая история;Сара Джио;2021; 16+ ;320;Биографии. Мемуары;https://book24.ru/product/sladko-gorkaya-istoriya-6033868/;
p6034962;История России с древнейших времен. Том 1;Сергей Соловьев;2021; 12+ ;800;История России;https://book24.ru/product/istoriya-rossii-s-drevneyshikh-vremen-tom-1-6034962/;
p6045909;Psychopath Free. Как распознать лжеца и манипулятора среди партнеров, коллег, начальников, и не стать жертвой обмана (нов/оф.);Маккензи Джексон;2021; 16+ ;320;Популярная психология;https://book24.ru/product/psychopath-free-kak-raspoznat-lzhetsa-i-manipulyatora-sredi-partnerov-kolleg-nachalnikov-i-ne-stat-zh-6045909/;
p6035854;Будни хирурга;Федор Углов;2021; 12+ ;416;Медицинские истории;https://book24.ru/product/budni-khirurga-6035854/;Книга Федора Углова "Будни хирурга" выходившая в СССР под названием "Человек среди людей — это не только медицинский детектив, не только точное воссоздание жизни и быта людей советской эпохи, но, прежде всего, бесценное свидетельство мужества самоотверженности и доброты врача. Главные герои книги Федора Григорьевича — его пациенты. В каждой строчке чувствуется то, как важна для него каждая человеческая жизнь, как упорно, иногда почти без надежды на успех сражается он со смертью и побеждает ее. Начав читать этот невероятный роман, полностью основанный на реальных событиях, оторваться уже невозможно.
p6046424;Сказки старого Вильнюса III;Макс Фрай;2021; 18+ ;464;Героическое фэнтези;https://book24.ru/product/skazki-starogo-vilnyusa-iii-6046424/;
p5968597;ЕГЭ-2022. Английский язык (60x84/8). 30 тренировочных вариантов экзаменационных работ для подготовки к единому государственному экзамену;Елена Музланова;2021; 12+ ;400;ЕГЭ. Английский язык;https://book24.ru/product/ege-2022-angliyskiy-yazyk-60x84-8-30-trenirovochnykh-variantov-ekzamenatsionnykh-rabot-dlya-podgotov-5968597/;
p6047469;Работа над ошибками, или давайте ошибаться правильно!;Мария Рупасова;2021; 6+ ;56;Психология для детей;https://book24.ru/product/rabota-nad-oshibkami-ili-davayte-oshibatsya-pravilno-6047469/;
p6045964;Токийский гуль: re. Кн.7;Исида Суи;2021; 18+ ;448;Манга;https://book24.ru/product/tokiyskiy-gul-re-kn-7-6045964/;
p5964374;Нераскрытая самость;Карл Густав Юнг;2021; 12+ ;256;Общая педагогика;https://book24.ru/product/neraskrytaya-samost-5964374/;
p6045949;Сезон костей;Шеннон Саманта;2021; 16+ ;448;Зарубежное фэнтези;https://book24.ru/product/sezon-kostey-6045949/;
p5959782;Жизнь и одни сутки;Алексей Мерцалов;2021; 16+ ;288;Современная русская проза;https://book24.ru/product/zhizn-i-odni-sutki-5959782/;
p6037479;Грация королевы небес: тайна Адель;Ана Шерри;2021; 16+ ;352;Русская сентиментальная проза;https://book24.ru/product/gratsiya-korolevy-nebes-tayna-adel-6037479/;Уже пять лет Адель работает стюардессой и ни капли не жалеет о своем выборе. Ее любовь – небо, а Марко остался в прошлом… Марко теперь примерный семьянин, воспитывает дочь Фаби и живет с Патрицией. Он старается быть идеальным мужем, но каждый раз, когда оказывается в аэропорту, ему мерещится Адель. Кажется, что их дороги разошлись навсегда, или... "Шарлеман" – уникальный проект для богатых людей, о котором говорит весь мир. Организаторы набирают штат сотрудников из разных стран. Для Адель – это прекрасный шанс заработать. Для Марко – отличная возможность показать свой профессионализм. Их дороги пересекутся в небе, когда они совсем этого не ждут, но чем же закончится этот полет?
p6043589;Железный Человек. Демон в бутылке. Золотая коллекция Marvel;Дэвид Микелайни;2021; 16+ ;176;Комиксы;https://book24.ru/product/zheleznyy-chelovek-demon-v-butylke-zolotaya-kollektsiya-marvel-6043589/;
p5991663;Тайну прошепчет лавина;Людмила Мартова;2021; 16+ ;320;Современные детективы;https://book24.ru/product/taynu-proshepchet-lavina-5991663/;Их, как в классическом английском детективе, было десять. Незнакомых между собой мужчин и женщин, приехавших на турбазу горнолыжного курорта. Они очень разные – столичный продюсер, личная помощница олигарха, известный врач, стареющая красотка, бизнесмен из провинции, женщина-следователь, невозмутимый викинг-иностранец. Общее у них лишь одно: ненависть к хозяину базы Олегу Девятову. У одних это чувство совсем свежее, а у других – давнее, крепкое, тяжелое, как слежавшийся снег…
p6047904;Жена винодела;Хармель Кристин;2021; 16+ ;448;Современная зарубежная проза;https://book24.ru/product/zhena-vinodela-6047904/;
p6013671;Матрица жизни. Календарь на 2022 год с наклейками;Радислав Гандапас;2021; 16+ ;24;Календари 2022;https://book24.ru/product/matritsa-zhizni-kalendar-na-2022-god-s-nakleykami-6013671/;
p5960755;Шаг в сторону;Андрей Никонов;2021; 16+ ;352;Альтернативная история;https://book24.ru/product/shag-v-storonu-5960755/;
p5855740;Вселенная с LEGO. Руководство по изучению основ физики;Бен Стилл;2021; 12+ ;176;Физические науки;https://book24.ru/product/vselennaya-s-lego-rukovodstvo-po-izucheniyu-osnov-fiziki-5855740/;Понять физику не так трудно, как кажется. Руководство "Вселенная с LEGO"- отличный способ визуализации схемы Вселенной, вплоть до ее мельчайших элементов. Если представить деталь LEGO как атом, можно понять как возникла и устроена Вселенная, что такое атомный мир. как взаимодействуют элементы внутри него,  Книга прекрасно иллюстрирована. Будет интересна студентам, преподавателям и всем любителям науки!
p6037196;Шамбала;Николай Рерих;2021; 16+ ;288;Классическая зарубежная литература;https://book24.ru/product/shambala-6037196/;
p6029273;Ящик Пандоры;Луанн Райс;2021; 16+ ;416;Триллеры;https://book24.ru/product/yashchik-pandory-6029273/;Бестселлер Amazon Charts - пугающий и напряжённый триллер о том, насколько далеко готова зайти женщина, чтобы раскрыть правду... и насколько далеко готов зайти некто, чтобы ей помешать. После того как на художницу Клэр Бодри Чейз напали и оставили умирать в её собственном доме на побережье Коннектикута, она больше не знает, кому может доверять. Её главный подозреваемый - собственный муж Гриффин, обладающий хорошими связями кандидат на кресло губернатора штата.  Перед самым нападением Клэр готовила выставку, один из экспонатов которой открыто обвиняет Гриффина в жестоком преступлении, совершённом двадцать пять лет назад. Если о нём станет известно публике, политической карьере её мужа наступит конец. Клэр не сомневается, что её муж и его могущественные сторонники с лёгкостью убьют её, чтобы скрыть правду. Когда одну из знакомых Клэр убивают, полиция пытается связать преступление с нападением на саму художницу. По мере того как идёт расследование, Клэр должна решить, сколько она готова потерять, чтобы остановиться своего мужа и коррумпированную группу поддерживающих его людей, которые пойдут на что угодно, чтобы защитить Гриффина и свои интересы.
p5960666;Сплетница. Вы в восторге от меня;Сесили фон Зигесар;2021; 18+ ;320;Зарубежная сентиментальная проза;https://book24.ru/product/spletnitsa-vy-v-vostorge-ot-menya-5960666/;
p6037780;Собаки на службе;Лора Гривз;2021; 16+ ;352;Современная зарубежная проза;https://book24.ru/product/sobaki-na-sluzhbe-6037780/;
p6018090;Монах;Мэтью Льюис;2021; 12+ ;448;Классическая зарубежная литература;https://book24.ru/product/monakh-6018090/;
p6027972;Как стать/быть губернатором и остаться в живых;Олег Кувшинников;2021; 16+ ;224;Политические деятели, бизнесмены;https://book24.ru/product/kak-stat-byt-gubernatorom-i-ostatsya-v-zhivykh-6027972/;
p5929177;Feminist fight club. Руководство по выживанию в сексистской среде;Джессика Беннетт;2021; 16+ ;368;Саморазвитие и личностный рост;https://book24.ru/product/feminist-fight-club-rukovodstvo-po-vyzhivaniyu-v-seksistskoy-srede-5929177/;Джессика Беннетт, первый редактор в The New York Times пишущий про гендерные проблемы, в своей книге говорит о тонком сексизме и предвзятости, которые влияют на распределение власти в на рабочих местах.
p5965502;ОГЭ-2022. Физика. Сборник заданий: 850 заданий с ответами;Наиль Ханнанов;2021; 6+ ;416;ОГЭ (ГИА)  Физика;https://book24.ru/product/oge-2022-fizika-sbornik-zadaniy-850-zadaniy-s-otvetami-5965502/;Издание предназначено для подготовки учащихся к ОГЭ по физике.  Пособие включает: •	850 заданий разных типов; •	ответы к заданиям. Представлены все учебные темы, знание которых проверяется экзаменом. Издание окажет помощь учителям при подготовке учащихся к ОГЭ по физике.
p5969491;ОГЭ. Обществознание. Новый полный справочник для подготовки к ОГЭ;Петр Баранов;2021; 6+ ;320;ОГЭ (ГИА)  Обществознание;https://book24.ru/product/oge-obshchestvoznanie-novyy-polnyy-spravochnik-dlya-podgotovki-k-oge-5969491/;
p6040870;Мифы и правда о MBTI и корпоративной культуре. Как управлять собой и другими;Вишнякова Марина Васильевна;2021; 16+ ;336;Психология бизнеса;https://book24.ru/product/mify-i-pravda-o-mbti-i-korporativnoy-kulture-kak-upravlyat-soboy-i-drugimi-6040870/;
p6022137;Шалом, еда! Израильская и еврейская кухни — две большие разницы;Елизавета Фрайман;2021; 16+ ;128;Национальные кухни;https://book24.ru/product/shalom-eda-izrailskaya-i-evreyskaya-kukhni-dve-bolshie-raznitsy-6022137/;Если вы ждете от книги Лизы Фрайман рецептов гефилте фиш и форшмака, то вы их таки дождетесь. Найдутся здесь и инструкции по приготовлению хумуса и знаменитого фалафеля. Но все-таки неожиданностей будет больше. Прожившая почти 20 лет на Земле Обетованной Лиза откроет нам мир еврейской и израильской кухни, а это, как говорят в Одессе, две большие разницы. На страницах книги вам откроется и старинная, но не менее актуальная сегодня, кухня ашкеназских (европейских) евреев, и уже знаменитые на весь мир хиты кухни израильской, а также блюда современных израильских поваров, которые стремятся подняться на вершину кулинарного олимпа, постоянно экспериментируя и находя новые решения для, казалось бы, традиционных блюд. Готовы погрузится в мир медовой курочки и бабагануша, открыть для себя вкус гусиных шкварок и конфет из фиников, отведать томленую говядину и приготовить молниеносную Иерусалимскую смесь? Тогда вперед.
p6041290;Дожить до рассвета;Василь Быков;2021; 12+ ;456;Классическая русская литература;https://book24.ru/product/dozhit-do-rassveta-6041290/;
p5969285;ЕГЭ-2022. Биология (60x84/8). 30 тренировочных вариантов экзаменационных работ для подготовки к единому государственному экзамену;Лариса Прилежаева;2021; 6+ ;352;ЕГЭ. Биология;https://book24.ru/product/ege-2022-biologiya-60x84-8-30-trenirovochnykh-variantov-ekzamenatsionnykh-rabot-dlya-podgotovki-k-ed-5969285/;
p6024165;Бессмертные. Почему гидры и медузы живут вечно, и как людям перенять их секрет;Эндрю Стил;2021; 12+ ;464;Популярная медицина;https://book24.ru/product/bessmertnye-pochemu-gidry-i-meduzy-zhivut-vechno-i-kak-lyudyam-perenyat-ikh-sekret-6024165/;Мало кто знает, что в мире существует две формы бессмертия. Первая – та самая, которой пользуемся мы с вами и еще 99% видов планеты Земля – сохранение ДНК через создание потомства.  Вторая – личное бессмертие. К примеру, некоторые черепахи и саламандры, риск смерти которых одинаков вне зависимости от того, сколько им лет. Они, безусловно, могут погибнуть – от зубов хищника или вследствие несчастного случая. Но вот из-за старости… Увольте! Мы привыкли думать, что самая частая причина смерти - это рак или болезни сердца, но это не совсем так. Старение - неизбежное увядание человеческого организма - вот самая распространённая причина смерти. Если с болезнью мы готовы бороться, то процесс старения настолько глубоко укрепился в человеческом опыте, что мы воспринимаем его как неизбежность. Эндрю Стил, научный исследователь, говорит об обратном - старение не является необратимой аксиомой. Автор погружает нас в удивительное путешествие по научной лаборатории - открытия, совершающиеся в ней способны совершить настоящую революцию в медицине! Как выработать режим, способный предотвратить упадок собственного тела?  Эта книга рассказывает о новых достижениях в области биологии старения и дарит надежду на то, что мы с вами уже доживем до "таблетки молодости".
